Genes,Cytoband,Spearman's Correlation,p-Value,q-Value
PABPN1L,16q24.3,-0.232089177,0.006550983,0.018639085
CA1,8q21.2,0.232058767,0.006558241,0.018657049
HLF,17q22,-0.232021373,0.006567176,0.018679777
RNF24,20p13,-0.232011831,0.006569457,0.018683577
GFM2,5q13.3,0.231987978,0.006575164,0.018697117
SEC14L4,22q12.2,-0.231936284,0.006587546,0.018729632
SMTNL1,11q12.1,-0.231930728,0.006588878,0.018730724
SLC2A5,1p36.23,-0.231916416,0.00659231,0.018737787
ZMPSTE24,1p34.2,0.23181623,0.006616383,0.018803504
SNORA57,11q12.2,0.23179668,0.006621089,0.018814174
HCN3,1q22,-0.231749439,0.006632474,0.018843816
HHIPL2,1q41,-0.231745233,0.006633489,0.01884399
ACTN1,14q24.1,-0.231706503,0.006642837,0.018867834
STXBP3,1p13.3,0.231668336,0.006652061,0.018891317
UBE2QL1,5p15.31,-0.231634941,0.006660141,0.018911546
AFAP1L2,10q25.3,-0.23163017,0.006661296,0.018912108
ZNF252P-AS1,8q24.3,-0.231594666,0.006669897,0.018933807
NANOG,12p13.31,-0.231560347,0.00667822,0.018954712
MRGPRE,11p15.4,-0.231513711,0.006689545,0.01898413
PTENP1,9p13.3,-0.231496589,0.006693708,0.018993215
PWAR4,15q11.2,-0.231470235,0.006700118,0.019008677
EYS,6q12,-0.231435949,0.006708467,0.019029631
LIN7B,19q13.33,0.231420257,0.006712292,0.019037747
PTPN21,14q31.3,-0.231405944,0.006715781,0.019044911
KLF12,13q22.1,-0.231363007,0.00672626,0.01907189
TMEM71,8q24.22,0.231300988,0.006741421,0.019112136
RABIF,1q32.1,0.231258051,0.006751935,0.019139199
NSUN6,10p12.31,-0.23125328,0.006753104,0.019139767
STOML1,15q24.1,0.231248509,0.006754273,0.019140336
GPR27,3p13,-0.231219584,0.006761367,0.01915769
ZC3H8,2q14.1,0.23119126,0.006768319,0.019174641
ZNF426,19p13.2,-0.231162635,0.006775352,0.019191813
EFHC1,6p12.2,0.231153094,0.006777697,0.019195706
DEDD2,19q13.2,0.231110157,0.006788262,0.019222871
FAM162B,6q22.1,0.231062449,0.006800017,0.019253401
KCNJ3,2q24.1,-0.231041084,0.006805287,0.019265245
HOOK1,1p32.1,-0.231037588,0.00680615,0.019265245
PIWIL2,8p21.3,-0.230987233,0.006818587,0.019297686
XYLB,3p22.2,-0.230933639,0.006831847,0.019332443
SEMA7A,15q24.1,-0.230924097,0.00683421,0.019336361
C16ORF74,16q24.1,0.230862077,0.006849587,0.019377095
CCP110,16p12.3,-0.230852536,0.006851955,0.019381021
FAM155A,13q33.3,-0.230828682,0.00685788,0.019395002
OR2L2,1q44,-0.230793129,0.006866718,0.019417219
GORASP1,3p22.2,-0.23075235,0.006876868,0.019443139
HLCS,21q22.13,-0.230728496,0.006882812,0.01945716
LINC00671,17q21.31,-0.23063679,0.006905704,0.019519082
SCARB2,4q21.1,-0.230623539,0.006909017,0.019525655
PDE11A,2q31.2,-0.230611887,0.006911932,0.019531099
TTK,6q14.1,0.230604456,0.006913791,0.019531349
GCNT7,20q13.31,-0.230601581,0.006914511,0.019531349
TDP1,14q32.11,0.230599685,0.006914985,0.019531349
MGP,12p12.3,0.230575831,0.006920958,0.019545426
GPR20,8q24.3,-0.230536195,0.006930892,0.019570685
SEC22C,3p22.1,0.230509041,0.006937706,0.019587126
TMTC2,12q21.31,-0.230485187,0.006943696,0.019601237
ILVBL,19p13.12,0.230475645,0.006946093,0.019605204
MYH15,3q13.13,-0.230394542,0.0069665,0.019657188
RAD18,3p25.3,0.230394542,0.0069665,0.019657188
NPR3,5p13.3,-0.230375459,0.00697131,0.019667951
EPN3,17q21.33,-0.230337127,0.006980979,0.01969242
IDH3A,15q25.1,0.230308668,0.006988166,0.019709879
USP40,2q37.1,-0.230289585,0.006992989,0.019720667
PRR13,12q13.13,0.230284815,0.006994195,0.019721254
SLC43A1,11q12.1,-0.230275273,0.006996607,0.019725243
CERCAM,9q34.11,-0.230184629,0.007019566,0.019787147
GABPB2,1q21.3,-0.23013215,0.007032889,0.019818278
ITIH5,10p14,-0.23013215,0.007032889,0.019818278
RXFP3,5p13.2,-0.230129278,0.007033618,0.019818278
TMEM229A,7q31.32,-0.230089213,0.007043805,0.019844152
ANTXR1,2p13.3,-0.230036735,0.007057169,0.019878966
NDUFAF4,6q16.1,0.229984256,0.007070554,0.019913833
TAF9B,Xq21.1,0.229955632,0.007077865,0.019931583
SRXN1,20p13,0.229950861,0.007079084,0.019932176
CRHR1,17q21.31,-0.229924979,0.007085701,0.019947099
EGR2,10q21.3,-0.229922237,0.007086403,0.019947099
FILIP1,6q14.1,-0.229893612,0.007093728,0.019962032
TENT2,5q14.1,0.229893612,0.007093728,0.019962032
SLC66A3,2p25.1,0.229869758,0.007099838,0.01997638
ACKR2,3p22.1,-0.229850675,0.007104729,0.019987296
ZNF343,20p13,-0.22981728,0.007113295,0.0200057
ADAMTS3,4q13.3,0.22981728,0.007113295,0.0200057
LINC00698,3p14.2,-0.229757431,0.007128671,0.02004609
NYNRIN,14q12,-0.229726635,0.007136594,0.020065514
DNER,2q36.3,-0.229650303,0.007156266,0.020117963
RPA1,17p13.3,0.229635991,0.007159959,0.020125484
HELB,12q14.3,-0.229626449,0.007162423,0.020129546
CCDC197,14q32.12,-0.229616461,0.007165002,0.020133932
ST3GAL4,11q24.2,0.229593054,0.007171051,0.020148064
TCOF1,5q32-q33.1,-0.229588283,0.007172285,0.020148665
NIBAN3,19p13.11,-0.2295285,0.007187756,0.020189257
HACD2,3q21.1,-0.22950718,0.00719328,0.020201904
TMTC1,12p11.22,-0.229502409,0.007194517,0.020202507
ARHGEF15,17p13.1,-0.229492868,0.007196991,0.020206583
PLCD3,17q21.31,-0.229488097,0.007198229,0.020207186
TNFRSF14-AS1,1p36.32,-0.229378369,0.007226739,0.02028434
POM121C,7q11.23,-0.229373599,0.007227981,0.020284945
GDI1,Xq28,-0.229368828,0.007229223,0.02028555
GPM6A,4q34.2,0.229340203,0.007236679,0.02030359
CYSRT1,9q34.3,0.229331756,0.007238881,0.020306884
CALR,19p13.13,0.229302037,0.007246631,0.020325741
BBS5,2q31.1,-0.229282954,0.007251612,0.020336825
KCNIP2,10q24.32,-0.229278183,0.007252858,0.020337432
ZNF878,19p13.2,-0.229272394,0.007254369,0.020338786
HSD17B1,17q21.2,0.229244788,0.007261582,0.020356121
AGA,4q34.3,0.229225705,0.007266572,0.02036722
ZNF418,19q13.43,-0.229201851,0.007272814,0.020381823
MOBP,3p22.1,-0.22919231,0.007275312,0.020385933
GTDC1,2q22.3,0.229144602,0.007287813,0.020415173
RTN4RL1,17p13.3,-0.229144602,0.007287813,0.020415173
ZNF561,19p13.2,0.229092123,0.007301586,0.020450857
MSANTD4,11q22.3,0.229082582,0.007304093,0.020454979
KARS1,16q23.1,0.22906827,0.007307854,0.020462613
KDM5A,12p13.33,-0.229063499,0.007309108,0.020463226
STK36,2q35,-0.229044416,0.007314127,0.020474376
PCDH10,4q28.3,-0.229025333,0.007319149,0.020485532
LONP1,19p13.2,-0.229015791,0.007321661,0.020489661
ZNF845,19q13.42,0.228987167,0.007329202,0.02050786
HCRT,17q21.2,0.228901784,0.007351735,0.020568
HTATIP2,11p15.1,0.228886981,0.007355649,0.020576035
PIGB,15q21.3,0.22888221,0.00735691,0.020576651
VAT1L,16q23.1,-0.228839273,0.007368272,0.020605513
APP,21q21.3,-0.228796336,0.00737965,0.020634411
BPNT2,8q12.1,-0.228786795,0.00738218,0.020636601
NYAP2,2q36.3,-0.228785508,0.007382522,0.020636601
EDNRA,4q31.22-q31.23,-0.228777253,0.007384711,0.020639804
ARHGAP5,14q12,-0.22875817,0.007389776,0.020651039
COLGALT1,19p13.11,-0.228743858,0.007393577,0.020657348
WDR87,19q13.13,-0.228741796,0.007394124,0.020657348
TBKBP1,17q21.32,-0.228724775,0.007398647,0.020667061
SUV39H1,Xp11.23,0.228720004,0.007399915,0.020667682
NAPA,19q13.33,0.228686608,0.007408796,0.020689564
ADGRA3,4p15.2,-0.228662755,0.007415146,0.020704371
UBQLN4,1q22,-0.228638901,0.007421501,0.020719186
RWDD2A,6q14.1,0.228591193,0.007434224,0.020751777
MOB1B,4q13.3,-0.228576881,0.007438045,0.02075951
RASSF4,10q11.21,-0.228553027,0.007444417,0.02077436
CALHM6,6q22.1,0.228524402,0.00745207,0.02079278
SLC2A4,17p13.1,-0.228495778,0.00745973,0.020808277
ADCY10P1,6p21.1,-0.228495778,0.00745973,0.020808277
CABLES1,18q11.2,-0.22844807,0.007472512,0.020840989
ZFP37,9q32,0.228419446,0.00748019,0.02085946
MTURN,7p14.3,-0.228400363,0.007485313,0.020867857
FOXD4L1,2q14.1,-0.228400363,0.007485313,0.020867857
TPP1,11p15.4,-0.228333572,0.007503267,0.02091264
LRCH4,7q22.1,-0.228328801,0.007504551,0.02091264
TEX9,15q21.3,0.228328801,0.007504551,0.02091264
GALNT14,2p23.1,-0.228293293,0.007514113,0.020936334
MEFV,16p13.3,-0.228281093,0.007517401,0.020942542
SAE1,19q13.32,0.228266781,0.007521259,0.020950338
H4C4,6p22.2,0.228255799,0.007524222,0.020955185
DYRK1B,19q13.2,-0.228252469,0.00752512,0.020955185
DHX32,10q26.2,0.228247698,0.007526407,0.020955817
IQCN,19p13.11,-0.228176137,0.007545739,0.021006683
STARD7-AS1,2q11.2,-0.228090263,0.007568995,0.021068458
CORO2A,9q22.33,-0.228075951,0.007572877,0.021076296
UPK3B,7q11.23,-0.227977002,0.007599766,0.021148151
HMGN3,6q14.1,0.227970994,0.007601401,0.021149724
ACVR2B-AS1,3p22.2,-0.227961724,0.007603925,0.021153768
ATP8B3,19p13.3,-0.227951911,0.007606597,0.021158224
LY6G5B,6p21.33,-0.227866037,0.00763002,0.021220388
ZNF296,19q13.32,-0.227851725,0.00763393,0.021228275
C16ORF96,16p13.3,-0.227804017,0.007646976,0.021261562
PSORS1C1,6p21.33,0.227785206,0.007652125,0.021272887
EMX1,2p13.2,-0.227777918,0.007654121,0.021275442
CD160,1q21.1,-0.227751539,0.007661349,0.021290827
TMEM41B,11p15.4,0.227741997,0.007663965,0.021290827
VANGL1,1p13.1,-0.227741997,0.007663965,0.021290827
AIG1,6q24.2,0.227741997,0.007663965,0.021290827
CXCR2,2q35,-0.227660894,0.007686232,0.021349685
BMS1P4,10q22.2,-0.227641811,0.00769148,0.021361259
ACAD10,12q24.12,-0.227627499,0.007695418,0.02136619
EEA1,12q22,-0.227627499,0.007695418,0.02136619
H1-4,6p22.2,0.227621157,0.007697163,0.021368034
THRB,3p24.2,-0.227522542,0.00772435,0.021440495
MYT1L,2p25.3,-0.227509315,0.007728003,0.021447622
AGR3,7p21.1,0.227499596,0.007730688,0.021452062
FLJ16779,20q13.33,-0.227489147,0.007733576,0.021457063
MED14,Xp11.4,-0.22745098,0.007744132,0.021483334
SLC20A2,8p11.21,-0.227427127,0.007750735,0.021498636
ZNF674-AS1,Xp11.3,0.227412814,0.0077547,0.021506615
FAM98B,15q14,-0.227408044,0.007756022,0.021507263
PCA3,9q21.2,-0.227396519,0.007759216,0.021513102
THOC3,5q35.2,0.227374648,0.007765281,0.021526898
MAPK9,5q35.3,-0.227365107,0.007767929,0.021528198
ZNF136,19p13.2,0.227365107,0.007767929,0.021528198
H4C14,1q21.2,0.227341253,0.007774551,0.021543528
ZNF420,19q13.12,0.227336482,0.007775876,0.021544179
NKAIN1,1p35.2,-0.227307857,0.00778383,0.021563194
PART1,5q12.1,0.227255379,0.007798431,0.021600614
OOSP2,11q12.1,-0.227237445,0.007803426,0.02160928
MID2,Xq22.3,-0.227236296,0.007803746,0.02160928
MSL1,17q21.1,-0.227221984,0.007807735,0.021614269
ORAI3,16p11.2,0.227221984,0.007807735,0.021614269
RBPJ,4p15.2,-0.22719813,0.007814387,0.021629653
TLCD1,17q11.2,0.227150422,0.007827706,0.021663485
ZNF124,1q44,0.227126568,0.007834372,0.0216789
RRP7BP,22q13.2,-0.227107485,0.00783971,0.021690632
ATP1B4,Xq24,-0.227098819,0.007842135,0.021691945
HIP1,7q11.23,-0.227097944,0.007842379,0.021691945
FAM95B1,9p11.2,-0.227088402,0.00784505,0.021693259
DHCR24,1p32.3,-0.227088402,0.00784505,0.021693259
ABCC11,16q12.1,-0.227019548,0.007864346,0.021743573
ARCN1,11q23.3,-0.226983445,0.00787448,0.021768548
PCDHB3,5q31.3,-0.226969133,0.007878501,0.021776617
IL4I1,19q13.33,-0.226883259,0.007902663,0.021840349
PABPC1L2A,Xq13.2,-0.226834858,0.007916311,0.021875008
GRID2,4q22.1-q22.2,-0.226766695,0.007935566,0.02192515
NOS3,7q36.1,-0.226744907,0.00794173,0.021939112
LRRC36,16q22.1,0.226721053,0.007948483,0.021954698
PRRG2,19q13.33,0.22670197,0.007953889,0.02196656
PACSIN1,6p21.3,-0.226673346,0.007962004,0.021985899
ZNF467,7q36.1,-0.226668575,0.007963357,0.021986564
SELENOI,2p23.3,-0.226630409,0.00797419,0.022013398
ZNF383,19q13.13,0.226616097,0.007978256,0.022021546
RPS4Y1,Yp11.2,0.226492057,0.00801357,0.02211593
AQP5,12q13.12,0.226463432,0.008021738,0.022135384
THNSL1,10p12.1,0.226453891,0.008024463,0.022139811
FCN3,1p36.11,0.226411224,0.008036657,0.022170358
CCDC168,13q33.1,-0.226391083,0.008042419,0.022183157
TUT4,1p32.3,-0.226329851,0.008059958,0.022228432
ITGA8,10p13,-0.226287716,0.008072046,0.022258665
NOX5,15q23,-0.226281781,0.008073751,0.022260258
USP1,1p31.3,0.226277372,0.008075016,0.022260643
SLC25A28,10q24.2,-0.22626306,0.008079128,0.02226887
DUOXA1,15q21.1,-0.226212436,0.008093684,0.022305883
FBXO9,6p12.1,0.226196269,0.008098338,0.022315596
RNF5P1,8p11.22,0.226153332,0.008110709,0.022346569
ZNF676,19p12,-0.22614478,0.008113175,0.022350248
TBP,6q27,0.226096083,0.008127229,0.022385845
ANOS1,Xp22.31,-0.226024522,0.008147922,0.022439713
ZNF611,19q13.41,-0.22595296,0.008168661,0.022493695
PPP1R36,14q23.3,0.225943419,0.00817143,0.022498184
PTPRH,19q13.42,-0.225938648,0.008172814,0.022498862
MEGF6,1p36.32,-0.225905253,0.008182513,0.022522424
GRIN1,9q34.3,-0.225876897,0.008190756,0.022541973
DUSP16,12p13.2,-0.225857545,0.008196386,0.022554326
PURA,5q31.3,-0.225833691,0.00820333,0.022570292
TREML1,6p21.1,-0.22582415,0.008206109,0.022574796
KCMF1,2p11.2,0.225795525,0.008214451,0.0225946
EIF2B4,2p23.3,0.225733505,0.008232552,0.022641238
ANKAR,2q32.2,0.225709651,0.008239524,0.022657257
APBB3,5q31.3,-0.225695339,0.008243709,0.022665612
AMMECR1L,2q14.3,-0.225652402,0.008256276,0.022693851
BLOC1S2,10q24.31,0.225652402,0.008256276,0.022693851
RFPL1S,22q12.2,-0.225642861,0.008259071,0.022698376
TLX2,2p13.1,-0.225631245,0.008262475,0.022704573
ATMIN,16q23.2,-0.225590382,0.008274459,0.022734342
HEYL,1p34.2,-0.225561758,0.008282862,0.022754269
STPG3,9q34.3,-0.225555286,0.008284763,0.022756328
EVPL,17q25.1,-0.225540871,0.008288999,0.022764031
LARS2,3p21.31,-0.225537904,0.008289871,0.022764031
DDX19A,16q22.1,-0.225533133,0.008291274,0.022764719
FRS3,6p21.1,-0.225466342,0.00831093,0.022812348
CCDC73,11p13,0.225466342,0.00831093,0.022812348
FAM166B,9p13.3,0.225409093,0.008327811,0.022855509
GJD4,10p11.21,-0.225402239,0.008329834,0.022857887
ADCYAP1R1,7p14.3,-0.225347073,0.008346132,0.022899433
FAAP100,17q25.3,-0.225318449,0.0083546,0.022916997
ELFN1,7p22.3,-0.225313678,0.008356013,0.022916997
ARHGAP19,10q24.1,-0.225313678,0.008356013,0.022916997
SLC35G1,10q23.33,0.225270741,0.008368731,0.022948693
CNOT3,19q13.42,-0.225246887,0.008375804,0.022964903
RALGAPA1,14q13.2,-0.225170555,0.008398474,0.023023865
UBA7,3p21.31,-0.225118076,0.008414091,0.023063478
INA,10q24.33,-0.225089452,0.00842262,0.023081849
TEKT3,17p12,0.22507991,0.008425465,0.023081849
CIAO3,16p13.3,0.22507991,0.008425465,0.023081849
KDM6A,Xp11.3,-0.22507991,0.008425465,0.023081849
KIF23,15q23,0.225051286,0.008434004,0.023098839
SMAP2,1p34.2,-0.225051286,0.008434004,0.023098839
SPPL2A,15q21.2,0.225027432,0.008441126,0.023115141
CFAP157,9q34.11,-0.224989266,0.008452532,0.023143169
CFAP46,10q26.3,0.224965412,0.008459668,0.023159499
PDE4C,19p13.11,-0.2249511,0.008463952,0.023168018
ETAA1,2p14,0.224912934,0.008475386,0.023192889
CFAP92,3q21.3,0.224912934,0.008475386,0.023192889
ZNF423,16q12.1,-0.224908163,0.008476816,0.023193591
CNTN1,12q12,-0.224807977,0.008506898,0.023272678
VAMP8,2p11.2,0.224693478,0.008541393,0.023363814
PDE7B,6q23.3,-0.224660083,0.008551478,0.023388162
KCNA6,12p13.32,-0.224626688,0.008561573,0.023409999
GRHL1,2p25.1,-0.224621917,0.008563016,0.023409999
THBS2,6q27,-0.224621917,0.008563016,0.023409999
YKT6,7p13,0.224607605,0.008567346,0.023418598
SELENOO,22q13.33,-0.22457898,0.008576012,0.023439045
AMZ1,7p22.3,-0.224521731,0.008593368,0.023483233
FAM66A,8p23.1,-0.22451696,0.008594816,0.023483942
LPAR5,12p13.31,-0.224497877,0.008600609,0.023496522
C2ORF42,2p13.3,0.224474023,0.008607855,0.023513068
WWTR1,3q25.1,-0.224445399,0.008616558,0.023533587
FAM193B,5q35.3,-0.224433739,0.008620105,0.023540021
MIEF2,17p11.2,0.224397691,0.008631079,0.023566734
LINC00906,19q12,-0.224389367,0.008633615,0.023568159
CCDC82,11q21,0.224388149,0.008633986,0.023568159
POM121,7q11.23,-0.224378608,0.008636894,0.02357284
SMCO2,12p11.23,0.224334012,0.008650496,0.023606704
PRPS1,Xq22.3,0.224326129,0.008652902,0.023610011
PRCC,1q23.1,0.22426888,0.008670396,0.023654477
NT5DC2,3p21.1,0.224254568,0.008674774,0.023663155
SPRTN,1q42.2,0.224192548,0.008693769,0.023711696
MSANTD3,9q31.1,0.224183007,0.008696694,0.023716403
PPP2R2C,4p16.1,-0.224178236,0.008698157,0.02371712
SLC4A3,2q35,-0.224168694,0.008701084,0.023721828
GOLIM4,3q26.2,-0.224135299,0.008711335,0.023746499
NOD2,16q12.1,-0.224125757,0.008714266,0.023751212
SDCBP2,20p13,0.224116216,0.008717198,0.023755926
SLC48A1,12q13.11,-0.224092362,0.00872453,0.023772631
TMEM53,1p34.1,0.224039884,0.008740682,0.023813358
SLC35D2,9q22.32,0.224030342,0.008743622,0.023818083
LRRC37BP1,17q11.2,0.223963551,0.008764222,0.023870106
DSG1,18q12.1,-0.223960596,0.008765135,0.023870106
RNF125,18q12.1,-0.223930156,0.008774539,0.023892424
FAM155B,Xq13.1,-0.223911073,0.008780439,0.023905196
LGR5,12q21.1,-0.223906302,0.008781915,0.02390592
MIGA2,9q34.11,-0.223877678,0.008790772,0.023926737
IFIT2,10q23.31,-0.223863365,0.008795204,0.023935503
FGF9,13q12.11,-0.223858879,0.008796594,0.023935988
ANKHD1-EIF4EBP3,5q31.3,-0.223839511,0.008802595,0.023949021
SLC35F3,1q42.2,-0.223799244,0.008815084,0.023975351
ARHGEF16,1p36.32,-0.223796842,0.00881583,0.023975351
RNF4,4p16.3,-0.223796575,0.008815913,0.023975351
CD82,11p11.2,-0.223787033,0.008818874,0.023980106
TGFB1,19q13.2,-0.223782262,0.008820356,0.023980835
DDX50,10q22.1,0.223677305,0.008852999,0.024066274
SLC6A15,12q21.31,-0.223665645,0.008856632,0.024071775
NUDCD3,7p13,0.223662993,0.008857458,0.024071775
CASS4,20q13.31,-0.223634369,0.008866383,0.024092718
SLC27A6,5q23.3,-0.223629598,0.008867872,0.024093449
KHDC1L,6q13,0.223623116,0.008869894,0.024095631
DHX30,3p21.31,-0.223615286,0.008872338,0.024096379
DLL1,6q27,-0.223610515,0.008873827,0.024096379
TSC22D1,13q14.11,0.223610515,0.008873827,0.024096379
DIAPH2,Xq21.33,-0.22358189,0.008882767,0.02411734
LRRC23,12p13.31,0.223577119,0.008884257,0.024118074
MBP,18q23,-0.223543724,0.008894699,0.024143103
AGTRAP,1p36.22,0.22351987,0.008902163,0.024160046
PCDHB13,5q31.3,-0.223500787,0.008908139,0.024172944
MCCC1,3q27.1,0.223491246,0.008911128,0.024177736
SH3BGRL2,6q14.1,-0.223467392,0.008918605,0.0241947
ZNF74,22q11.21,-0.223462621,0.008920101,0.024195438
H2AC17,6p22.1,0.223440939,0.008926903,0.024210565
CD4,12p13.31,-0.223419684,0.008933575,0.024225336
C22ORF23,22q13.1,-0.223371977,0.008948568,0.024262662
SRRM2-AS1,16p13.3,0.223350774,0.008955238,0.024277416
AGPAT1,6p21.32,-0.22333381,0.008960578,0.024288561
KCNS2,8q22.2,-0.223316038,0.008966175,0.024300401
HCAR2,12q24.31,-0.223289391,0.008974573,0.024319826
DHRS13,17q11.2,0.223257478,0.00898464,0.024343769
OR2L13,1q44,-0.223234069,0.008992031,0.024360455
LGALS1,22q13.1,0.223205,0.009001217,0.024381996
ZNF99,19p12,-0.223168946,0.009012621,0.024409541
ENG,9q34.11,-0.223162063,0.009014799,0.024412095
PNPLA4,Xp22.31,0.223152521,0.00901782,0.02441693
AP4S1,14q12,0.223147751,0.00901933,0.024417675
TEX26,13q12.3,0.223131329,0.009024532,0.024428412
GRM5,11q14.2-q14.3,-0.223085731,0.00903899,0.024464196
NEK9,14q24.3,-0.223038023,0.009054139,0.024501841
WDR55,5q31.3,-0.22301894,0.009060204,0.024512291
TMEM249,8q24.3,-0.223015233,0.009061383,0.024512291
NARF,17q25.3,0.223014169,0.009061721,0.024512291
ISY1,3q21.3,0.222990315,0.00906931,0.02452946
SIGLEC16,19q13.33,-0.222961691,0.009078423,0.024550749
NKAIN3,8q12.3,-0.22295692,0.009079943,0.024551499
ARGFXP2,17q11.2,-0.222939758,0.009085411,0.024562925
ATP11B,3q26.33,-0.222761319,0.009142443,0.024713733
NUDT9P1,10q23.32,-0.222732965,0.009151534,0.024734925
RNF111,15q22.1-q22.2,-0.222716262,0.009156894,0.024746026
GSPT2,Xp11.22,0.222689757,0.009165404,0.024765638
MAP7D2,Xp22.12,-0.22264682,0.009179205,0.024799538
LINC00304,16q24.3,-0.222628205,0.009185194,0.024812327
C1ORF35,1q42.13,0.222565717,0.009205323,0.024863304
DDX23,12q13.12,0.222546634,0.009211478,0.024876529
GNG13,16p13.3,-0.222518092,0.009220691,0.024898007
TTLL5,14q24.3,-0.222513239,0.009222258,0.024898836
SPPL2B,19p13.3,-0.222503697,0.00922534,0.024903755
DRD4,11p15.5,-0.222436907,0.00924694,0.024958654
PLAGL2,20q11.21,-0.222389199,0.009262395,0.024996957
ZNF322P1,9q22.33,0.222379657,0.009265489,0.025001893
DHRS7,14q23.1,0.222360574,0.00927168,0.025015181
REX1BD,19p13.11,0.222322408,0.009284072,0.025045196
STX2,12q24.33,0.222298554,0.009291824,0.025062688
RPL21P44,4q12,-0.222280006,0.009297856,0.025075536
MAOA,Xp11.3,-0.222274701,0.009299582,0.025076769
TCP11L1,11p13,-0.22226993,0.009301134,0.025077533
TTC21A,3p22.2,-0.222265159,0.009302687,0.025078297
COL6A6,3q22.1,-0.222256024,0.00930566,0.025082892
RILPL1,12q24.31,-0.222246076,0.009308899,0.02508478
RABL3,3q13.33,0.222246076,0.009308899,0.02508478
ZFYVE27,10q24.2,-0.222231764,0.009313561,0.02509392
CAPN13,2p23.1,-0.222226237,0.009315361,0.02509535
LINC02877,3q25.2,0.222191121,0.00932681,0.025122768
SPRY2,13q31.1,0.22214589,0.009341574,0.025159108
MIER3,5q11.2,0.222112495,0.009352489,0.02518507
CEACAM19,19q13.31,-0.222098182,0.009357169,0.025194243
IL17RB,3p21.1,0.222050475,0.009372788,0.025232857
WAS,Xp11.23,-0.222031392,0.009379041,0.025246253
SLF1,5q15,0.221964601,0.009400958,0.025301802
TBC1D3H,17q12,-0.221945518,0.009407228,0.025315206
AMIGO1,1p13.3,-0.221940747,0.009408796,0.025315206
LRP11,6q25.1,-0.221935976,0.009410365,0.025315206
FOXC2,16q24.1,-0.221933856,0.009411062,0.025315206
KIT,4q12,-0.221907352,0.00941978,0.025335208
DDHD2,8p11.23,-0.221878727,0.009429203,0.025357102
RBM25,14q24.2,-0.221873956,0.009430775,0.025357877
TRIM4,7q22.1,0.221864415,0.009433918,0.025362879
H2AC4,6p22.2,0.221858098,0.009436,0.025365024
RMRP,9p13.3,0.221850103,0.009438635,0.025368658
STK40,1p34.3,-0.221840561,0.009441781,0.025373662
CHGB,20p12.3,-0.22183579,0.009443354,0.02537444
MARCHF4,2q35,-0.221816707,0.009449649,0.025387903
VEZT,12q22,0.221797624,0.009455948,0.025401373
CEP83-DT,12q22,0.221793118,0.009457436,0.025401917
TAS2R1,5p15.31,-0.221757088,0.00946934,0.025430435
TVP23A,16p13.13,0.221740375,0.009474867,0.02544182
CTBS,1p22.3,0.221630647,0.009511221,0.025535969
RALBP1,18p11.22,-0.221621106,0.009514388,0.025541002
EPN1,19q13.42,-0.221616335,0.009515972,0.025541784
ANKRD26P3,13q12.11,-0.221608204,0.009518672,0.025545562
UBA6-AS1,4q13.2,0.221592481,0.009523895,0.025556109
